Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a2fcfbd712b563abd0d976c3ae795bbc5d1f21e3b3a3b478578764483de2f3eb,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.107365,51.500039,On or near WEBBER ROW,E01032584,Southwark 034E,Suspect charged
98dd1945533de07085fbe9ad06e767efc9803e4809e97f381508f0b3c056bb7f,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.093525,51.483664,On or near RED LION ROW,E01003969,Southwark 017B,Local resolution
87cef1866f4792d884bc55a5a75d556b2e1146b5467010ffa5ac1499745e4da0,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.084452,51.495324,On or near GREEN WALK,E01003941,Southwark 006C,Offender given penalty notice
770ddffa5baa8f985d9ccb7e5aef3f17b4a442eafcb31b959687926e18bdb554,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.060395,51.473912,On or near QUEEN'S ROAD,E01004005,Southwark 023D,Local resolution
0b1efd5c630abf73171ab3fa79ca987316f15bd8f9f26dfb0e94d5282b74f002,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.085141,51.501917,On or near SHIP AND MERMAID ROW,E01003981,Southwark 006F,Local resolution
ab5526af7a56da0eb5e742202c517b3f45120c33a7df748d410d659b24271538,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.098384,51.493923,On or near ELEPHANT ROAD,E01032720,Southwark 009F,Local resolution
bffbf7b1ffdbb23f8890daee6d265cb04cc826d1fa415fa3b6e649ac2566e74b,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.113260,51.503137,On or near Police Station,E01032582,Lambeth 036E,Offender given a caution
e54889b0b97f3370af0c1d8cedb7dae0a25406f659c42fe1ff1fc0020170d243,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.032052,51.491731,On or near DEPTFORD WHARF,E01003249,Lewisham 001D,Investigation complete; no suspect identified
b4d3860f59cb74dd1d4a13e2d7b79cbe06f0dbbc0ea58a402000f600e2a238e7,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.006054,51.461931,On or near MARISCHAL ROAD,E01003288,Lewisham 012A,Offender given a caution
baa502cdf59e18e8a4a5a9d425a0049193f597337bd6576028198cf6c733d5f2,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.027831,51.453010,On or near FOXBOROUGH GARDENS,E01003275,Lewisham 014C,Investigation complete; no suspect identified
c8150e2e836483e934bd583d3cc4977814f48522ba1bf0330f3b2c60a0935e2c,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.036039,51.483102,On or near ROLT STREET,E01003246,Lewisham 002A,Investigation complete; no suspect identified
ca9435bcf5698c164f5f1cbe1e68ed5f94f57f78d3dc9aa73122b32016ddf772,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.048855,51.431842,On or near DEANS GATE CLOSE,E01003313,Lewisham 027E,Investigation complete; no suspect identified
9afe489187099e9d1aab6ddb5e4c989245ee93643b2688859eef8e7bed15929c,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.010680,51.463466,On or near LEWISHAM HIGH STREET,E01003296,Lewisham 012E,Investigation complete; no suspect identified
5529f8ebc4bfbf3ec1a34136cfa7a50222d90ec0350b3726fd15502d42d7d61e,2019-03,Metropolitan Police Service,Metropolitan Police Service,0.000019,51.433221,On or near SCARLET ROAD,E01003347,Lewisham 030A,Investigation complete; no suspect identified
